Suburbs,Mar 2000,Jun 2000,Sep 2000,Dec 2000,Mar 2001,Jun 2001,Sep 2001,Dec 2001,Mar 2002,Jun 2002,Sep 2002,Dec 2003,Mar 2003,Jun 2003,Sep 2003,Dec 2003,Dec 2003,Mar 2004,Jun 2004,Sep 2004,Dec 2004,Mar 2005,Jun 2005,Sep 2005,Dec 2005,Mar 2006,Jun 2006,Sep 2006,Dec 2006,Mar 2007,Jun 2007,Sep 2007,Dec 2007,Mar 2008,Jun 2008,Sep 2008,Dec 2008,Mar 2009,Jun 2009,Sep 2009,Dec 2009,Mar 2010,Jun 2010,Sep 2010,Dec 2010,Mar 2011,Jun 2011,Sep 2011,Dec 2011,Mar 2012,Jun 2012,Sep 2012,Dec 2012,Mar 2013,Jun 2013,Sep 2013,Dec 2013,Mar 2014,Jun 2014,Sep 2014,Dec 2014,Mar 2015,Jun 2015,Sep 2015,Dec 2015,Mar 2016,Jun 2016,Sep 2016,Dec 2016,Mar 2017,Jun 2017,Sep 2017,Dec 2017,Mar 2018,Jun 2018,Sep 2018,Dec 2018,Mar 2019,Jun 2019,Sep 2019,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023
Albert Park-Middle Park-West St Kilda,1143,1134,1177,1178,1208,1245,1244,1293,1332,1350,1415,1431,1422,1396,1315,1280,295,1270,1236,1221,1236,1262,1278,1280,1228,1124,1065,1003,909,859,865,838,868,882,883,908,936,921,917,923,929,956,954,978,961,927,914,902,923,965,976,993,958,971,966,952,1005,1012,1031,1018,983,942,925,913,941,961,970,971,921,910,892,896,902,891,920,913,925,905,886,857,847,855,830,805,852,902,940,943,910,867,855,881,832,786
Armadale,733,737,738,739,718,704,718,764,774,783,773,724,747,750,754,754,240,728,700,698,713,683,706,711,679,666,665,671,682,659,642,621,626,643,671,623,623,589,542,589,596,589,600,620,616,651,660,638,631,610,609,596,607,618,622,634,641,659,677,672,677,680,663,663,659,653,659,673,660,681,690,829,922,964,989,888,826,794,739,758,776,753,783,711,730,793,819,860,817,805,851,852,840,751
Carlton North,864,814,799,736,718,685,668,666,626,647,644,670,685,704,691,676,290,662,650,635,633,622,617,670,650,630,607,582,584,536,527,501,483,477,486,493,517,509,516,503,496,487,483,505,515,544,527,526,521,476,490,501,488,506,522,509,524,546,544,540,527,535,529,541,561,544,544,529,509,501,484,482,500,500,507,523,490,482,495,486,523,547,545,525,547,577,603,613,598,581,535,547,546,490
Carlton-Parkville,1339,1304,1300,1320,1273,1307,1297,1267,1305,1262,1267,1227,1297,1333,1362,1411,284,1540,1554,1719,1756,1979,2108,2151,2234,2526,2528,2566,2604,2598,2665,2634,2553,2353,3391,3530,3617,4459,3433,3611,3614,3369,3350,3221,3179,3266,3345,3497,3567,3864,3782,3806,3883,3855,3848,3848,3776,4005,4162,4400,4534,4652,4849,4860,5110,5390,5206,5194,4964,4631,4638,4782,4693,4491,4416,4339,4437,4313,4451,4520,4662,5234,5065,4646,4767,4176,4838,5184,5384,6143,6018,6871,6627,6690
CBD-St Kilda Rd,2132,2264,2358,2361,2591,2603,2749,3069,3316,3418,3393,3404,3755,3948,4093,4118,300,4151,4134,4253,4341,4363,4574,4791,4907,5071,5009,5015,5137,5191,5321,5198,5043,4925,5024,5214,5308,5260,5168,5352,5412,5612,5628,5703,5959,6247,6210,6073,6077,6226,6404,6566,6627,6932,7284,7614,7875,8337,8437,8785,9093,9864,9953,10429,10410,9965,9938,10010,10007,10433,10798,10769,10741,10464,10047,10187,10144,10522,10798,10839,10859,10949,11136,11343,13452,15629,17754,18048,17633,17845,16792,18284,17627,17426
Collingwood-Abbotsford,652,653,700,709,746,747,723,732,713,708,711,706,718,723,725,734,265,744,715,710,732,769,796,825,837,790,801,766,730,703,666,650,666,661,722,736,719,697,637,646,627,649,694,690,739,784,772,787,761,721,726,730,706,712,723,857,1029,1316,1483,1695,1714,1617,1632,1691,1870,2180,2206,2093,2064,1979,1993,1925,1873,1842,1846,1875,1866,1908,1900,1915,2032,1956,2006,1997,2093,2330,2499,2555,2506,2353,2307,2517,2365,2163
Docklands,-,10,-,-,-,-,-,-,31,77,154,342,461,538,599,498,350,581,647,682,771,812,829,891,961,1033,1099,1105,1035,1010,1040,1084,1122,1064,1002,972,986,1007,1042,1067,1092,1171,1155,1131,1104,1047,1011,1063,1134,1266,1337,1587,1730,1762,1851,1770,1795,1999,1966,1886,1780,1614,1698,1694,1673,1770,1741,1826,2047,2319,2445,2656,2811,2793,2756,2641,2405,2288,2338,2386,2358,2274,2245,2488,3018,3532,3872,3639,3499,3188,3006,3126,2912,2726
East Melbourne,493,488,514,503,495,485,536,543,579,583,538,540,523,548,534,524,300,500,476,481,478,557,737,849,869,812,678,606,617,619,580,532,506,505,523,534,544,530,519,548,577,638,658,647,628,585,584,553,560,547,505,505,472,479,503,534,556,567,550,515,502,485,507,508,520,498,478,493,502,539,541,525,494,464,458,475,499,516,541,594,626,638,633,567,551,574,605,605,610,610,581,589,571,514
East St Kilda,1753,1734,1710,1641,1581,1549,1530,1543,1613,1630,1628,1594,1608,1618,1644,1653,210,1620,1562,1593,1598,1527,1558,1529,1500,1500,1482,1477,1469,1440,1455,1377,1388,1393,1407,1448,1443,1477,1469,1485,1484,1509,1531,1556,1596,1609,1624,1606,1614,1644,1664,1697,1715,1726,1717,1763,1774,1771,1781,1749,1770,1766,1793,1804,1786,1789,1750,1744,1720,1723,1706,1731,1794,1778,1772,1713,1683,1678,1691,1662,1628,1641,1628,1603,1617,1689,1742,1810,1878,1850,1910,1980,1937,1782
Elwood,1745,1680,1677,1714,1731,1774,1843,1830,1870,1885,1875,1904,1916,1900,1859,1869,240,1856,1814,1823,1824,1811,1859,1855,1853,1784,1747,1737,1673,1715,1682,1660,1654,1631,1662,1686,1681,1685,1696,1666,1714,1682,1698,1743,1780,1784,1769,1752,1702,1738,1753,1783,1786,1812,1827,1830,1894,1857,1831,1820,1889,1893,1910,1885,1797,1826,1797,1802,1777,1754,1749,1742,1731,1699,1643,1614,1566,1571,1633,1620,1630,1582,1568,1540,1598,1678,1691,1732,1721,1696,1678,1700,1644,1540
Fitzroy,618,656,650,675,691,650,656,650,651,665,671,655,667,650,634,639,300,628,631,639,650,620,637,640,651,616,588,574,556,574,560,548,521,535,571,580,579,551,522,517,562,605,625,647,630,637,692,689,701,684,665,710,726,726,696,668,675,658,681,691,735,719,702,710,678,785,797,774,736,666,633,601,615,628,631,655,651,645,646,640,645,607,653,681,809,898,912,928,855,865,864,884,891,813
Fitzroy North-Clifton Hill,1121,1132,1142,1148,1137,1118,1081,1054,1036,1044,1067,1077,1098,1083,1092,1101,280,1087,1089,1047,1050,1026,1049,1091,1026,972,917,880,862,853,856,825,847,846,838,860,860,860,840,847,862,843,879,899,890,919,911,888,912,963,1060,1092,1076,1065,1012,1033,1053,1071,1071,1096,1108,1097,1108,1078,1099,1122,1146,1175,1203,1161,1127,1128,1089,1051,1029,988,1001,1078,1106,1133,1121,1090,1077,993,1056,1183,1221,1279,1283,1233,1230,1258,1226,1088
Flemington-Kensington,987,1004,1031,1020,996,978,949,967,1022,1034,1047,1031,1056,1105,1109,1167,250,1198,1143,1184,1158,1120,1113,1079,1092,1108,1145,1214,1189,1135,1144,1075,1034,1042,1085,1142,1229,1161,1093,1082,1069,1147,1220,1246,1353,1424,1399,1390,1298,1261,1301,1474,1591,1687,1693,1566,1535,1572,1565,1562,1529,1569,1586,1587,1584,1532,1529,1549,1532,1477,1430,1506,1566,1581,1613,1534,1611,1655,1686,1694,1551,1509,1474,1385,1453,1548,1731,1883,1919,1875,1769,1714,1664,1537
